Dataset,Feature,mean,std,median,min,max,skewness,kurtosis
CICIDS2017,Source Port,41128.85587282208,22294.93774558575,50944.0,0.0,65535.0,-0.9353823362647408,-0.6678899202925987
CICIDS2017,Destination Port,8071.482501237308,18283.63217237561,80.0,0.0,65535.0,2.07205224863336,2.51818216086482
CICIDS2017,Protocol,9.880340603156133,5.261922185851875,6.0,0.0,17.0,0.6114711138850862,-1.6179951767872973
CICIDS2017,Flow Duration,14785663.929521684,33653744.08585523,31316.0,-13.0,119999998.0,2.1553558927330223,3.0202728134838996
CICIDS2017,Total Fwd Packets,9.361159949878884,749.6727924980048,2.0,1.0,219759.0,244.38055300505061,61754.431280404155
CICIDS2017,Total Backward Packets,10.393770116185044,997.3882689050921,2.0,0.0,291922.0,244.6795073937269,62017.975503703805
CICIDS2017,Total Length of Fwd Packets,549.3024145957439,9993.589229393498,62.0,0.0,12900000.0,805.5705391050949,988552.6199383319
CICIDS2017,Total Length of Bwd Packets,16162.64254649751,2263088.051725944,123.0,0.0,655453030.0,244.3308931867824,61601.652306305645
CICIDS2017,Fwd Packet Length Max,207.59994107554095,717.1848417583044,37.0,0.0,24820.0,9.849179260121089,136.74584070376306
CICIDS2017,Fwd Packet Length Min,18.713656096650244,60.33934535101894,2.0,0.0,2325.0,20.139171867116847,476.55836206450994
CICIDS2017,Fwd Packet Length Mean,58.201938528123755,186.09115654962312,34.0,0.0,5940.857143,9.135766045183047,94.93513175286711
CICIDS2017,Fwd Packet Length Std,68.91013354422388,281.18709207898524,0.0,0.0,7125.596845843696,10.53108043717868,139.9510940975997
CICIDS2017,Bwd Packet Length Max,870.849454719132,1946.3673768747033,79.0,0.0,19530.0,2.9383553571357717,8.91223767199616
CICIDS2017,Bwd Packet Length Min,41.049579209416045,68.86260264724743,0.0,0.0,2896.0,4.838118662589023,72.99276493072585
CICIDS2017,Bwd Packet Length Mean,305.94928134992875,605.2568001421854,72.0,0.0,5800.5,2.5192831324163936,5.472293500438335
CICIDS2017,Bwd Packet Length Std,335.3257206074605,839.6932177113689,0.0,0.0,8194.660487,3.414492258101905,13.11754304212849
CICIDS2017,Flow Bytes/s,1491719.0643420683,25940155.669913016,4586.600756,-261000000.0,2071000000.0,46.39191880007147,2796.7447403235037
CICIDS2017,Flow Packets/s,70854.23306262742,254415.43789676312,109.47599922281486,-2000000.0,4000000.0,5.517199637332675,35.90788186318881
CICIDS2017,Flow IAT Mean,1298448.708665391,4507944.173794317,11438.84211,-13.0,120000000.0,8.969788935498316,123.05150629542084
CICIDS2017,Flow IAT Std,2919270.91875488,8045869.77965458,137.1787156,0.0,84800261.56640792,3.61105571968675,14.977001788101424
CICIDS2017,Flow IAT Max,9182475.317050682,24459539.2508425,30865.0,-13.0,120000000.0,2.901926146201272,7.035739130480668
CICIDS2017,Flow IAT Min,162379.56178430893,2950281.7768057273,4.0,-14.0,120000000.0,23.788150897944526,624.0694326173956
CICIDS2017,Fwd IAT Total,14482961.734189222,33575811.64646707,43.0,0.0,120000000.0,2.1769304026711076,3.107545178419285
CICIDS2017,Fwd IAT Mean,2610192.973542325,9525722.485326516,26.0,0.0,120000000.0,7.06635407480428,61.7108833028856
CICIDS2017,Fwd IAT Std,3266957.2220508317,9639055.400348762,0.0,0.0,84602929.27698219,3.4109794197335908,10.872848568237966
CICIDS2017,Fwd IAT Max,9042938.558814418,24529157.399698887,43.0,0.0,120000000.0,2.909589967338421,7.060862010195489
CICIDS2017,Fwd IAT Min,1021892.905134447,8591436.338554349,3.0,-12.0,120000000.0,9.712721428309493,100.37533569486513
CICIDS2017,Bwd IAT Total,9893830.350136695,28736614.19888721,3.0,0.0,120000000.0,2.884194495313071,6.814527175062139
CICIDS2017,Bwd IAT Mean,1805783.7673780406,8887197.079007307,3.0,0.0,120000000.0,8.250627022865293,78.54850202491873
CICIDS2017,Bwd IAT Std,1485973.3473393081,6278468.565082394,0.0,0.0,84418013.7826341,5.7929267965887465,37.108873126067664
CICIDS2017,Bwd IAT Max,4684692.427954428,17160950.058626805,3.0,0.0,120000000.0,4.435718199889343,19.421975728410388
CICIDS2017,Bwd IAT Min,967261.3707574301,8308983.091314676,1.0,0.0,120000000.0,9.923703379059642,105.37128346441911
CICIDS2017,Fwd PSH Flags,0.04644646299575765,0.2104500052666412,0.0,0.0,1.0,4.310324030433898,16.578904960800724
CICIDS2017,Bwd PSH Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017,Fwd URG Flags,0.00011127820505075876,0.010548263436133866,0.0,0.0,1.0,94.78130272482831,8981.501691900536
CICIDS2017,Bwd URG Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CICIDS2017,Fwd Header Length,-25997.391975887604,21052857.873173933,64.0,-32212234632.0,4644908.0,-1325.073809383881,1959082.8988238708
CICIDS2017,Bwd Header Length,-2273.2753195892387,1452208.9395910755,40.0,-1073741320.0,5838440.0,-717.0313039453313,528196.6624823754
CICIDS2017,Fwd Packets/s,63865.34641143761,247537.12964203063,61.32523840186428,0.0,3000000.0,5.684943793528892,37.55591998837859
CICIDS2017,Bwd Packets/s,6995.191742603614,38151.69768319484,19.82789388,0.0,2000000.0,21.489044501157032,635.0175888550486
CICIDS2017,Min Packet Length,16.43450465125234,25.237720797695665,2.0,0.0,1448.0,10.193305602796991,424.26770716182335
CICIDS2017,Max Packet Length,950.4024445172168,2028.2291463396557,87.0,0.0,24820.0,2.815075536846063,8.330669159505911
CICIDS2017,Packet Length Mean,171.94439024900288,305.49146113948734,57.2,0.0,3337.142857,2.3958664310213287,5.06683960035782
CICIDS2017,Packet Length Std,294.97555442549987,631.8000730314719,25.98076211,0.0,4731.522394,2.8826758098757055,8.780408341466428
CICIDS2017,Packet Length Variance,486154.79413840704,1647489.865309903,675.0,0.0,22400000.0,5.393806380917156,36.712344968136875
CICIDS2017,FIN Flag Count,0.035379757187423935,0.18473776556242197,0.0,0.0,1.0,5.030055112614846,23.30147089909055
CICIDS2017,SYN Flag Count,0.04644646299575765,0.2104500052666412,0.0,0.0,1.0,4.310324030433898,16.578904960800724
CICIDS2017,RST Flag Count,0.0002423392021105413,0.015565364095025081,0.0,0.0,1.0,64.21411164430033,4121.455046191241
CICIDS2017,PSH Flag Count,0.29807050657724843,0.45741070560008057,0.0,0.0,1.0,0.8829248359057895,-1.2204445964198622
CICIDS2017,ACK Flag Count,0.31584428540492726,0.46485131936747087,0.0,0.0,1.0,0.7923214887588971,-1.3722276279690178
CICIDS2017,URG Flag Count,0.0948231612689672,0.2929705781767338,0.0,0.0,1.0,2.765991913056269,5.650715255482343
CICIDS2017,CWE Flag Count,0.00011127820505075876,0.010548263436133866,0.0,0.0,1.0,94.78130272482831,8981.501691900536
